dexNo,name,forme,imageId
211,ハリーセン(ヒスイ),Hisui,10234
212,ハッサム,,212
212,メガハッサム,Mega,10046
213,ツボツボ,,213
214,ヘラクロス,,214
214,メガヘラクロス,Mega,10047
215,ニューラ,,215
215,ニューラ(ヒスイ),Hisui,10235
216,ヒメグマ,,216
217,リングマ,,217
218,マグマッグ,,218
219,マグカルゴ,,219
220,ウリムー,,220
221,イノムー,,221
222,サニーゴ,,222
222,サニーゴ(ガラル),Galar,10173
223,テッポウオ,,223
224,オクタン,,224
225,デリバード,,225
226,マンタイン,,226
227,エアームド,,227
227,メガエアームド,Mega,10284
228,デルビル,,228
229,ヘルガー,,229
229,メガヘルガー,Mega,10048
230,キングドラ,,230
231,ゴマゾウ,,231
232,ドンファン,,232
233,ポリゴン2,,233
234,オドシシ,,234
235,ドーブル,,235
236,バルキー,,236
237,カポエラー,,237
238,ムチュール,,238
239,エレキッド,,239
240,ブビィ,,240
241,ミルタンク,,241
242,ハピナス,,242
243,ライコウ,,243
244,エンテイ,,244
245,スイクン,,245
246,ヨーギラス,,246
247,サナギラス,,247
248,バンギラス,,248
248,メガバンギラス,Mega,10049
249,ルギア,,249
250,ホウオウ,,250
251,セレビィ,,251
252,キモリ,,252
253,ジュプトル,,253
254,ジュカイン,,254
254,メガジュカイン,Mega,10065
255,アチャモ,,255
256,ワカシャモ,,256
257,バシャーモ,,257
257,メガバシャーモ,Mega,10050
258,ミズゴロウ,,258
259,ヌマクロー,,259
260,ラグラージ,,260
260,メガラグラージ,Mega,10064
261,ポチエナ,,261
262,グラエナ,,262
263,ジグザグマ,,263
263,ジグザグマ(ガラル),Galar,10174
264,マッスグマ,,264
264,マッスグマ(ガラル),Galar,10175
265,ケムッソ,,265
266,カラサリス,,266
267,アゲハント,,267
268,マユルド,,268
269,ドクケイル,,269
270,ハスボー,,270
271,ハスブレロ,,271
272,ルンパッパ,,272
273,タネボー,,273
274,コノハナ,,274
275,ダーテング,,275
276,スバメ,,276
277,オオスバメ,,277
278,キャモメ,,278
279,ペリッパー,,279
280,ラルトス,,280
281,キルリア,,281
282,サーナイト,,282
282,メガサーナイト,Mega,10051
283,アメタマ,,283
284,アメモース,,284
285,キノココ,,285
286,キノガッサ,,286
287,ナマケロ,,287
288,ヤルキモノ,,288
289,ケッキング,,289
290,ツチニン,,290
291,テッカニン,,291
292,ヌケニン,,292
293,ゴニョニョ,,293
294,ドゴーム,,294
295,バクオング,,295
296,マクノシタ,,296
297,ハリテヤマ,,297
298,ルリリ,,298
299,ノズパス,,299
300,エネコ,,300
301,エネコロロ,,301
302,ヤミラミ,,302
302,メガヤミラミ,Mega,10066
303,クチート,,303
303,メガクチート,Mega,10052
304,ココドラ,,304
305,コドラ,,305
306,ボスゴドラ,,306
306,メガボスゴドラ,Mega,10053
307,アサナン,,307
308,チャーレム,,308
308,メガチャーレム,Mega,10054
309,ラクライ,,309
310,ライボルト,,310
310,メガライボルト,Mega,10055
311,プラスル,,311
312,マイナン,,312
313,バルビート,,313
314,イルミーゼ,,314
315,ロゼリア,,315
316,ゴクリン,,316
317,マルノーム,,317
318,キバニア,,318
319,サメハダー,,319
319,メガサメハダー,Mega,10070
320,ホエルコ,,320
321,ホエルオー,,321
322,ドンメル,,322
323,バクーダ,,323
323,メガバクーダ,Mega,10087
324,コータス,,324
325,バネブー,,325
326,ブーピッグ,,326
327,パッチール,,327
328,ナックラー,,328
329,ビブラーバ,,329
330,フライゴン,,330
331,サボネア,,331
332,ノクタス,,332
333,チルット,,333
334,チルタリス,,334
334,メガチルタリス,Mega,10067
335,ザングース,,335
336,ハブネーク,,336
337,ルナトーン,,337
338,ソルロック,,338
339,ドジョッチ,,339
340,ナマズン,,340
341,ヘイガニ,,341
342,シザリガー,,342
343,ヤジロン,,343
344,ネンドール,,344
345,リリーラ,,345
346,ユレイドル,,346
347,アノプス,,347
348,アーマルド,,348
349,ヒンバス,,349
350,ミロカロス,,350
351,ポワルン,,351
351,ポワルン(たいよう),Sunny,10013
351,ポワルン(あまみず),Rainy,10014
351,ポワルン(ゆきぐも),Snowy,10015
352,カクレオン,,352
353,カゲボウズ,,353
354,ジュペッタ,,354
354,メガジュペッタ,Mega,10056
355,ヨマワル,,355
356,サマヨール,,356
357,トロピウス,,357
358,チリーン,,358
358,メガチリーン,Mega,10306
359,アブソル,,359
359,メガアブソル,Mega,10057
359,メガアブソルZ,Mega-Z,10307
360,ソーナノ,,360
361,ユキワラシ,,361
362,オニゴーリ,,362
362,メガオニゴーリ,Mega,10074
363,タマザラシ,,363
364,トドグラー,,364
365,トドゼルガ,,365
366,パールル,,366
367,ハンテール,,367
368,サクラビス,,368
369,ジーランス,,369
370,ラブカス,,370
371,タツベイ,,371
372,コモルー,,372
373,ボーマンダ,,373
373,メガボーマンダ,Mega,10089
374,ダンバル,,374
375,メタング,,375
376,メタグロス,,376
376,メガメタグロス,Mega,10076
377,レジロック,,377
378,レジアイス,,378
379,レジスチル,,379
380,ラティアス,,380
380,メガラティアス,Mega,10062
381,ラティオス,,381
381,メガラティオス,Mega,10063
382,カイオーガ,,382
382,カイオーガ(ゲンシカイキ),Primal,10077
383,グラードン,,383
383,グラードン(ゲンシカイキ),Primal,10078
384,レックウザ,,384
384,メガレックウザ,Mega,10079
385,ジラーチ,,385
386,デオキシス(ノーマル),,386
386,デオキシス(アタック),Attack,10001
386,デオキシス(ディフェンス),Defense,10002
386,デオキシス(スピード),Speed,10003
387,ナエトル,,387
388,ハヤシガメ,,388
389,ドダイトス,,389
390,ヒコザル,,390
391,モウカザル,,391
392,ゴウカザル,,392
393,ポッチャマ,,393
394,ポッタイシ,,394
395,エンペルト,,395
396,ムックル,,396
397,ムクバード,,397
398,ムクホーク,,398
398,メガムクホーク,Mega,10308
399,ビッパ,,399
400,ビーダル,,400
401,コロボーシ,,401
402,コロトック,,402
403,コリンク,,403
404,ルクシオ,,404
405,レントラー,,405
406,スボミー,,406
407,ロズレイド,,407
408,ズガイドス,,408
409,ラムパルド,,409
410,タテトプス,,410
411,トリデプス,,411
412,ミノムッチ(くさき),,412
412,ミノムッチ(すなち),Sandy,412
412,ミノムッチ(ゴミ),Trash,412
413,ミノマダム(くさき),,413
413,ミノマダム(すなち),Sandy,10004
413,ミノマダム(ゴミ),Trash,10005
414,ガーメイル,,414
415,ミツハニー,,415
416,ビークイン,,416
417,パチリス,,417
418,ブイゼル,,418
419,フローゼル,,419
420,チェリンボ,,420
421,チェリム,,421
422,カラナクシ,,422
423,トリトドン,,423
424,エテボース,,424
425,フワンテ,,425
426,フワライド,,426
427,ミミロル,,427
428,ミミロップ,,428
428,メガミミロップ,Mega,10088
429,ムウマージ,,429
430,ドンカラス,,430
431,ニャルマー,,431
432,ブニャット,,432
433,リーシャン,,433
434,スカンプー,,434
435,スカタンク,,435
436,ドーミラー,,436
437,ドータクン,,437
438,ウソハチ,,438
439,マネネ,,439
440,ピンプク,,440
441,ペラップ,,441
442,ミカルゲ,,442
443,フカマル,,443
444,ガバイト,,444
445,ガブリアス,,445
445,メガガブリアス,Mega,10058
445,メガガブリアスZ,Mega-Z,10309
446,ゴンベ,,446
447,リオル,,447
448,ルカリオ,,448
448,メガルカリオ,Mega,10059
448,メガルカリオZ,Mega-Z,10310
449,ヒポポタス,,449
450,カバルドン,,450
451,スコルピ,,451
452,ドラピオン,,452
453,グレッグル,,453
454,ドクロッグ,,454
455,マスキッパ,,455
456,ケイコウオ,,456
457,ネオラント,,457
458,タマンタ,,458
459,ユキカブリ,,459
460,ユキノオー,,460
460,メガユキノオー,Mega,10060
461,マニューラ,,461
462,ジバコイル,,462
463,ベロベルト,,463
464,ドサイドン,,464
465,モジャンボ,,465
466,エレキブル,,466
467,ブーバーン,,467
468,トゲキッス,,468
469,メガヤンマ,,469
470,リーフィア,,470
471,グレイシア,,471
472,グライオン,,472
473,マンムー,,473
474,ポリゴンZ,,474
475,エルレイド,,475
475,メガエルレイド,Mega,10068
476,ダイノーズ,,476
477,ヨノワール,,477
478,ユキメノコ,,478
478,メガユキメノコ,Mega,10285
479,ロトム,,479
479,ヒートロトム,Heat,10008
479,ウォッシュロトム,Wash,10009
479,フロストロトム,Frost,10010
479,スピンロトム,Fan,10011
479,カットロトム,Mow,10012
480,ユクシー,,480
481,エムリット,,481
482,アグノム,,482
483,ディアルガ,,483
483,ディアルガ(オリジン),Origin,10245
484,パルキア,,484
484,パルキア(オリジン),Origin,10246
485,ヒードラン,,485
486,レジギガス,,486
487,ギラティナ(アナザー),,487
487,ギラティナ(オリジン),Origin,10007
488,クレセリア,,488
489,フィオネ,,489
490,マナフィ,,490
491,ダークライ,,491
492,シェイミ(ランド),,492
492,シェイミ(スカイ),Sky,10006
493,アルセウス,,493
494,ビクティニ,,494
495,ツタージャ,,495
496,ジャノビー,,496
497,ジャローダ,,497
498,ポカブ,,498
499,チャオブー,,499
500,エンブオー,,500
500,メガエンブオー,Mega,10286
501,ミジュマル,,501
502,フタチマル,,502
503,ダイケンキ,,503
503,ダイケンキ(ヒスイ),Hisui,10236
504,ミネズミ,,504
505,ミルホッグ,,505
506,ヨーテリー,,506
507,ハーデリア,,507
508,ムーランド,,508
509,チョロネコ,,509
510,レパルダス,,510
511,ヤナップ,,511
512,ヤナッキー,,512
513,バオップ,,513
514,バオッキー,,514
515,ヒヤップ,,515
516,ヒヤッキー,,516
517,ムンナ,,517
518,ムシャーナ,,518
519,マメパト,,519
520,ハトーボー,,520
521,ケンホロウ,,521
522,シママ,,522
523,ゼブライカ,,523
524,ダンゴロ,,524
525,ガントル,,525
526,ギガイアス,,526
527,コロモリ,,527
528,ココロモリ,,528
529,モグリュー,,529
530,ドリュウズ,,530
530,メガドリュウズ,Mega,10287
531,タブンネ,,531
531,メガタブンネ,Mega,10069
532,ドッコラー,,532
533,ドテッコツ,,533
534,ローブシン,,534
535,オタマロ,,535
536,ガマガル,,536
537,ガマゲロゲ,,537
538,ナゲキ,,538
539,ダゲキ,,539
540,クルミル,,540
541,クルマユ,,541
542,ハハコモリ,,542
543,フシデ,,543
544,ホイーガ,,544
545,ペンドラー,,545
545,メガペンドラー,Mega,10288
546,モンメン,,546
547,エルフーン,,547
548,チュリネ,,548
549,ドレディア,,549
549,ドレディア(ヒスイ),Hisui,10237
550,バスラオ(あか),,550
550,バスラオ(あお),Blue-Striped,10016
550,バスラオ(しろ),White-Striped,10247
551,メグロコ,,551
552,ワルビル,,552
553,ワルビアル,,553
554,ダルマッカ,,554
554,ダルマッカ(ガラル),Galar,10176
555,ヒヒダルマ,,555
555,ヒヒダルマ(ダルマ),Zen,10017
555,ヒヒダルマ(ガラル),Galar,10177
555,"ヒヒダルマ(ガラル,ダルマ)",Galar-Zen,10178
556,マラカッチ,,556
557,イシズマイ,,557
558,イワパレス,,558
559,ズルッグ,,559
560,ズルズキン,,560
560,メガズルズキン,Mega,10289
561,シンボラー,,561
562,デスマス,,562
562,デスマス(ガラル),Galar,10179
563,デスカーン,,563
564,プロトーガ,,564
565,アバゴーラ,,565
566,アーケン,,566
567,アーケオス,,567
568,ヤブクロン,,568
569,ダストダス,,569
569,ダストダス(キョダイ),Gmax,10207
570,ゾロア,,570
570,ゾロア(ヒスイ),Hisui,10238
571,ゾロアーク,,571
571,ゾロアーク(ヒスイ),Hisui,10239
572,チラーミィ,,572
573,チラチーノ,,573
574,ゴチム,,574
575,ゴチミル,,575
576,ゴチルゼル,,576
577,ユニラン,,577
578,ダブラン,,578
579,ランクルス,,579
580,コアルヒー,,580
581,スワンナ,,581
582,バニプッチ,,582
583,バニリッチ,,583
584,バイバニラ,,584
585,シキジカ,,585
586,メブキジカ,,586
587,エモンガ,,587
588,カブルモ,,588
589,シュバルゴ,,589
590,タマゲタケ,,590
591,モロバレル,,591
592,プルリル,,592
593,ブルンゲル,,593
594,ママンボウ,,594
595,バチュル,,595
596,デンチュラ,,596
597,テッシード,,597
598,ナットレイ,,598
599,ギアル,,599
600,ギギアル,,600
601,ギギギアル,,601
602,シビシラス,,602
603,シビビール,,603
604,シビルドン,,604
604,メガシビルドン,Mega,10290
605,リグレー,,605
606,オーベム,,606
607,ヒトモシ,,607
608,ランプラー,,608
609,シャンデラ,,609
609,メガシャンデラ,Mega,10291
610,キバゴ,,610
611,オノンド,,611
612,オノノクス,,612
613,クマシュン,,613
614,ツンベアー,,614
615,フリージオ,,615
616,チョボマキ,,616
617,アギルダー,,617
618,マッギョ,,618
618,マッギョ(ガラル),Galar,10180
619,コジョフー,,619
620,コジョンド,,620
621,クリムガン,,621
622,ゴビット,,622
623,ゴルーグ,,623
623,メガゴルーグ,Mega,10313
624,コマタナ,,624
625,キリキザン,,625
626,バッフロン,,626
627,ワシボン,,627
628,ウォーグル,,628
628,ウォーグル(ヒスイ),Hisui,10240
629,バルチャイ,,629
630,バルジーナ,,630
631,クイタラン,,631
632,アイアント,,632
633,モノズ,,633
634,ジヘッド,,634
635,サザンドラ,,635
636,メラルバ,,636
637,ウルガモス,,637
638,コバルオン,,638
639,テラキオン,,639
640,ビリジオン,,640
641,トルネロス(けしん),,641
641,トルネロス(れいじゅう),Therian,10019
642,ボルトロス(けしん),,642
642,ボルトロス(れいじゅう),Therian,10020
643,レシラム,,643
644,ゼクロム,,644
645,ランドロス(けしん),,645
645,ランドロス(れいじゅう),Therian,10021
646,キュレム,,646
646,ブラックキュレム,Black,10022
646,ホワイトキュレム,White,10023
647,ケルディオ,,647
647,ケルディオ(かくご),Resolute,10024
648,メロエッタ(ボイス),,648
648,メロエッタ(ステップ),Pirouette,10018
649,ゲノセクト,,649
650,ハリマロン,,650
651,ハリボーグ,,651
652,ブリガロン,,652
652,メガブリガロン,Mega,10292
653,フォッコ,,653
654,テールナー,,654
655,マフォクシー,,655
655,メガマフォクシー,Mega,10293
656,ケロマツ,,656
657,ゲコガシラ,,657
658,ゲッコウガ,,658
658,サトシゲッコウガ,Ash,10117
658,メガゲッコウガ,Mega,10294
659,ホルビー,,659
660,ホルード,,660
661,ヤヤコマ,,661
662,ヒノヤコマ,,662
663,ファイアロー,,663
664,コフキムシ,,664
665,コフーライ,,665
666,ビビヨン,,666
667,シシコ,,667
668,カエンジシ,,668
668,メガカエンジシ,Mega,10295
669,フラベベ,,669
670,フラエッテ,,670
670,フラエッテ(えいえん),Eternal,10061
670,メガフラエッテ,Mega,10296
671,フラージェス,,671
672,メェークル,,672
673,ゴーゴート,,673
674,ヤンチャム,,674
675,ゴロンダ,,675
676,トリミアン,,676
677,ニャスパー,,677
678,ニャオニクス(オス),,678
678,ニャオニクス(メス),F,10025
678,メガニャオニクス(オス),M-Mega,10314
678,メガニャオニクス(メス),F-Mega,10326
679,ヒトツキ,,679
680,ニダンギル,,680
681,ギルガルド(シールド),,681
681,ギルガルド(ブレード),Blade,10026
682,シュシュプ,,682
683,フレフワン,,683
684,ペロッパフ,,684
685,ペロリーム,,685
686,マーイーカ,,686
687,カラマネロ,,687
687,メガカラマネロ,Mega,10297
688,カメテテ,,688
689,ガメノデス,,689
689,メガガメノデス,Mega,10298
690,クズモー,,690
691,ドラミドロ,,691
691,メガドラミドロ,Mega,10299
692,ウデッポウ,,692
693,ブロスター,,693
694,エリキテル,,694
695,エレザード,,695
696,チゴラス,,696
697,ガチゴラス,,697
698,アマルス,,698
699,アマルルガ,,699
700,ニンフィア,,700
701,ルチャブル,,701
701,メガルチャブル,Mega,10300
702,デデンネ,,702
703,メレシー,,703
704,ヌメラ,,704
705,ヌメイル,,705
705,ヌメイル(ヒスイ),Hisui,10241
706,ヌメルゴン,,706
706,ヌメルゴン(ヒスイ),Hisui,10242
707,クレッフィ,,707
708,ボクレー,,708
709,オーロット,,709
710,バケッチャ(ふつう),,710
710,バケッチャ(ちいさい),Small,10027
710,バケッチャ(おおきい),Large,10028
710,バケッチャ(とくだい),Super,10029
711,パンプジン(ふつう),,711
711,パンプジン(ちいさい),Small,10030
711,パンプジン(おおきい),Large,10031
711,パンプジン(とくだい),Super,10032
712,カチコール,,712
713,クレベース,,713
713,クレベース(ヒスイ),Hisui,10243
714,オンバット,,714
715,オンバーン,,715
716,ゼルネアス,,716
717,イベルタル,,717
718,ジガルデ(50%),,718
718,ジガルデ(10%),10%,10181
718,ジガルデ(パーフェクト),Complete,10120
719,ディアンシー,,719
719,メガディアンシー,Mega,10075
720,フーパ(いましめられし),,720
720,フーパ(ときはなたれし),Unbound,10086
721,ボルケニオン,,721
722,モクロー,,722
723,フクスロー,,723
724,ジュナイパー,,724
724,ジュナイパー(ヒスイ),Hisui,10244
725,ニャビー,,725
726,ニャヒート,,726
727,ガオガエン,,727
728,アシマリ,,728
729,オシャマリ,,729
730,アシレーヌ,,730
731,ツツケラ,,731
732,ケララッパ,,732
733,ドデカバシ,,733
734,ヤングース,,734
735,デカグース,,735
736,アゴジムシ,,736
737,デンヂムシ,,737
738,クワガノン,,738
739,マケンカニ,,739
740,ケケンカニ,,740
740,メガケケンカニ,Mega,10315
741,オドリドリ(めらめら),,741
741,オドリドリ(ぱちぱち),Pom-Pom,10123
741,オドリドリ(ふらふら),Pa'u,10124
741,オドリドリ(まいまい),Sensu,10125
742,アブリー,,742
743,アブリボン,,743
744,イワンコ,,744
745,ルガルガン(まひる),,745
745,ルガルガン(まよなか),Midnight,10126
745,ルガルガン(たそがれ),Dusk,10152
746,ヨワシ(たんどく),,746
746,ヨワシ(むれ),School,10127
747,ヒドイデ,,747
748,ドヒドイデ,,748
749,ドロバンコ,,749
750,バンバドロ,,750
751,シズクモ,,751
752,オニシズクモ,,752
753,カリキリ,,753
754,ラランテス,,754
755,ネマシュ,,755
756,マシェード,,756
757,ヤトウモリ,,757
758,エンニュート,,758
759,ヌイコグマ,,759
760,キテルグマ,,760
761,アマカジ,,761
762,アママイコ,,762
763,アマージョ,,763
764,キュワワー,,764
765,ヤレユータン,,765
766,ナゲツケサル,,766
767,コソクムシ,,767
768,グソクムシャ,,768
768,メガグソクムシャ,Mega,10316
769,スナバァ,,769
770,シロデスナ,,770
771,ナマコブシ,,771
772,タイプ:ヌル,,772
773,シルヴァディ,,773
774,メテノ(コア),,10136
774,メテノ(りゅうせい),Meteor,774
775,ネッコアラ,,775
776,バクガメス,,776
777,トゲデマル,,777
778,ミミッキュ,,778
779,ハギギシリ,,779
780,ジジーロン,,780
780,メガジジーロン,Mega,10302
781,ダダリン,,781
782,ジャラコ,,782
783,ジャランゴ,,783
784,ジャラランガ,,784
785,カプ・コケコ,,785
786,カプ・テテフ,,786
787,カプ・ブルル,,787
788,カプ・レヒレ,,788
789,コスモッグ,,789
790,コスモウム,,790
791,ソルガレオ,,791
792,ルナアーラ,,792
793,ウツロイド,,793
794,マッシブーン,,794
795,フェローチェ,,795
796,デンジュモク,,796
797,テッカグヤ,,797
798,カミツルギ,,798
799,アクジキング,,799
800,ネクロズマ,,800
800,ネクロズマ(たそがれ),Dusk-Mane,10155
800,ネクロズマ(あかつき),Dawn-Wings,10156
800,ネクロズマ(ウルトラネクロズマ),Ultra,10157
801,マギアナ,,801
802,マーシャドー,,802
803,ベベノム,,803
804,アーゴヨン,,804
805,ツンデツンデ,,805
806,ズガドーン,,806
807,ゼラオラ,,807
808,メルタン,,808
809,メルメタル,,809
809,メルメタル(キョダイ),Gmax,10208
810,サルノリ,,810
811,バチンキー,,811
812,ゴリランダー,,812
812,ゴリランダー(キョダイ),Gmax,10209
813,ヒバニー,,813
814,ラビフット,,814
815,エースバーン,,815
815,エースバーン(キョダイ),Gmax,10210
816,メッソン,,816
817,ジメレオン,,817
818,インテレオン,,818
818,インテレオン(キョダイ),Gmax,10211
819,ホシガリス,,819
820,ヨクバリス,,820
821,ココガラ,,821
822,アオガラス,,822
823,アーマーガア,,823
823,アーマーガア(キョダイ),Gmax,10212
824,サッチムシ,,824
825,レドームシ,,825
826,イオルブ,,826
826,イオルブ(キョダイ),Gmax,10213
827,クスネ,,827
828,フォクスライ,,828
829,ヒメンカ,,829
830,ワタシラガ,,830
831,ウールー,,831
832,バイウールー,,832
833,カムカメ,,833
