name,slug
フラエッテナイト,gen9/floettite
カラマネナイト,gen9/malamarite
ガメノデスナイト,gen9/barbaracite
ドラミドナイト,gen9/dragalgite
ルチャブルナイト,gen9/hawluchanite
ディアンシナイト,diancite
ケケンカニナイト,gen9/crabominite
グソクムシャナイト,gen9/golisopite
ジジーロナイト,gen9/drampanite
タイレーツナイト,gen9/falinksite
スコヴィラナイト,gen9/scovillainite
キラフロルナイト,gen9/glimmoranite
セグレイブナイト,gen9/baxcalibrite
